Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,59.64,-35.79,-90,top
C2,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,5.94,-38.025,90,top
C4,10uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,5.95,-41.945,-90,top
C5,100nF,C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,15.63,-41.7,-90,top
C6,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,13.37,-47.805,-90,top
C7,4.7uF,C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,26.59,-23.5,-90,top
C8,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,26.7,-18,-90,top
C10,22nF 50V,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,22.63,-25.38,0,top
C11,100nF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,23.48,-28.38,90,top
C12,100nF,C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,18.13,-17.12,90,top
C13,100nF,C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,18.1,-23.36,-90,top
D2,1N4148W,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,31.69,-27.96,90,top
R1,100,C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,50.3,-32.5,-90,top
R2,20k,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,45.8,-17.09,180,top
R3,20k,C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,13.42,-40.005,90,top
R4,8.2k,D_SOD-123,13.42,-43.805,90,top
R5,100,D_SOD-123,9.02,-42.305,0,top
R6,100,D_SOD-123,9.72,-44.505,0,top
R7,120,D_SOD-123,32.35,-23.58,90,top
R8,10k,D_SOD-123,25.67,-36.305,-90,top
R9,20k,D_SOD-123,38.48,-25.41,180,top
R11,20k,D_SOD-123,24.97,-13.48,0,top
R12,0.11,D_SOD-123,15.84,-23.92,90,top
R13,0.11,D_SOD-123,15.87,-16.55,-90,top
R14,20k,D_SOD-123,67.3,-22.4,180,top
R15,20k,D_SOD-123,67.3,-20.3,180,top
U1,HX711,D_SOD-123,20.63,-40.745,-90,top
U2,TMC2209,D_SOD-123,22.38,-20.39,0,top
